Year,Quarter,Region,Oil_Production_bbl,Revenue_USD,Cost_USD
2022,Q1,Permian,5579636,487672096,289394563
2022,Q1,Bakken,4012728,360577461,182950415
2022,Q1,Eagle Ford,5607761,475434254,229070355
2022,Q1,Offshore,4171505,342370251,195358976
2022,Q2,Permian,5462778,456944985,220744548
2022,Q2,Bakken,4210421,347726922,157074111
2022,Q2,Eagle Ford,4591850,350318182,199759638
2022,Q2,Offshore,4729855,410195336,226768417
2022,Q3,Permian,5196530,410807094,199497061
2022,Q3,Bakken,4281483,365405791,168123903
2022,Q3,Eagle Ford,5421307,475109753,215358110
2022,Q3,Offshore,4655822,375694027,214209811
2022,Q4,Permian,5028193,435683088,245279078
2022,Q4,Bakken,4172300,336605574,182322402
2022,Q4,Eagle Ford,4380101,371208041,188086278
2022,Q4,Offshore,4954298,408841177,196941728
2023,Q1,Permian,5494288,460385161,254469739
2023,Q1,Bakken,4491577,363746107,200764841
2023,Q1,Eagle Ford,5032755,412686129,189205236
2023,Q1,Offshore,5434640,443744758,215209140
2023,Q2,Permian,5592340,469272097,227737945
2023,Q2,Bakken,5127238,430919800,216737361
2023,Q2,Eagle Ford,4504349,338297206,178750696
2023,Q2,Offshore,5168966,451012870,248773035
2023,Q3,Permian,4109187,344065390,161734160
2023,Q3,Bakken,5541038,440386883,226906827
2023,Q3,Eagle Ford,5321575,469340149,235526367
2023,Q3,Offshore,4695823,413417196,227104528
2023,Q4,Permian,5962870,499513887,273923895
2023,Q4,Bakken,4904949,429142334,229487425
2023,Q4,Eagle Ford,5358224,478668932,268670041
2023,Q4,Offshore,4872364,422036115,215187060
2024,Q1,Permian,4404203,383813079,179975417
2024,Q1,Bakken,5849627,498121708,256262278
2024,Q1,Eagle Ford,5277318,437901250,220054947
2024,Q1,Offshore,5818607,475731978,271019178
2024,Q2,Permian,5896577,473994608,264431102
2024,Q2,Bakken,5728256,454549902,269077641
2024,Q2,Eagle Ford,4656674,372532691,190987599
2024,Q2,Offshore,5430711,436223341,216433826
2024,Q3,Permian,5150175,411038527,222309591
2024,Q3,Bakken,4119084,309028056,155525293
2024,Q3,Eagle Ford,4818814,401474138,238641827
2024,Q3,Offshore,5731725,436549798,196464688
2024,Q4,Permian,5378096,469731659,213410091
2024,Q4,Bakken,4699925,365708432,211083840
2024,Q4,Eagle Ford,4882084,367688109,187154662
2024,Q4,Offshore,5361495,411507710,232727567
